Chromosome,-log10(P-value),Log2 Fold Change,Gene,Ensembl ID
chr13,12.807,3.139,TM9SF2,ENSG00000125304.10_5
chr14,3.571,3.139,PCNX1,ENSG00000100731.16_5
chr7,5.174,3.138,SLC35B4,ENSG00000205060.11_4
chr16,8.52,3.137,ARL6IP1|AC138811.2,ENSG00000260342.2_8||ENSG00000170540.15_5
chr1,7.953,3.137,CLSTN1,ENSG00000171603.18_4
chr1,3.321,3.137,PEA15,ENSG00000162734.12_3
chr2,6.45,3.135,MCFD2,ENSG00000180398.13_4
chr10,6.74,3.134,SNORD98,ENSG00000221182.1
chr16,6.295,3.133,PLK1,ENSG00000166851.15_4
chr6,12.308,3.133,CD164,ENSG00000135535.17_6
chr2,4.232,3.132,ACSL3,ENSG00000123983.14_3
chr16,4.249,3.132,AMFR,ENSG00000159461.15_6
chr2,14.089,3.132,LAPTM4A,ENSG00000068697.7_4
chr6,3.105,3.132,TRAM2,ENSG00000065308.5_4
chr22,6.628,3.132,YWHAH,ENSG00000128245.15_6
chr1,3.264,3.131,RNF187,ENSG00000168159.12_5
chr1,16.444,3.131,PARP1,ENSG00000143799.13_4
chr14,3.938,3.13,COCH,ENSG00000100473.18_5
chr5,7.765,3.13,CCT5,ENSG00000150753.12_6
chr1,6.792,3.13,GALNT2,ENSG00000143641.10_3
chr1,9.179,3.129,DDOST,ENSG00000244038.9_6
chr2,11.229,3.129,RTN4,ENSG00000115310.18_6
chr11,8.338,3.129,NDUFC2|NDUFC2-KCTD14,ENSG00000151366.13_6||ENSG00000259112.2_4
chr3,7.023,3.129,ARL6IP5,ENSG00000144746.7_3
chr6,12.442,3.129,TXNDC5,ENSG00000239264.9_5
chr12,19.993,3.129,TPI1,ENSG00000111669.15_5
chr13,7.226,3.128,SLC7A1,ENSG00000139514.13_5
chr1,38.554,3.128,ATP1A1,ENSG00000163399.16_4
chrX,5.507,3.128,HS6ST2,ENSG00000171004.18_5
chr1,7.67,3.126,LAMC1,ENSG00000135862.6_3
chr11,9.561,3.125,AC116533.1,ENSG00000244398.1_5
chr8,7.486,3.124,PTDSS1,ENSG00000156471.13_3
chrX,4.653,3.124,ATP6AP1,ENSG00000071553.17_5
chr12,3.105,3.124,CD9,ENSG00000010278.14_5
chr16,10.185,3.124,RPL13,ENSG00000167526.13_4
chr15,10.762,3.124,NPTN,ENSG00000156642.17_5
chr11,6.879,3.123,HYOU1,ENSG00000149428.19_8
chr19,4.941,3.123,R3HDM4,ENSG00000198858.10_5
chr12,3.394,3.123,GXYLT1,ENSG00000151233.11_4
chrM,400.0,3.123,MT-ND4L,ENSG00000212907.2_1
chr1,4.104,3.123,ZMPSTE24,ENSG00000084073.9_3
chr5,3.828,3.123,RBM22,ENSG00000086589.12_5
chr17,7.017,3.122,PRPF8,ENSG00000174231.17_5
chr5,3.555,3.119,MFAP3,ENSG00000037749.12_4
chr17,3.04,3.119,CPD,ENSG00000108582.12_7
chr1,5.84,3.119,GBA,ENSG00000177628.16_5
chr3,16.266,3.119,STT3B,ENSG00000163527.10_3
chr3,7.301,3.118,GPX1,ENSG00000233276.5_7
chr15,3.015,3.118,TMED3,ENSG00000166557.13_4
chr1,7.738,3.118,ARID1A,ENSG00000117713.20_6
chr8,8.734,3.117,COX6C,ENSG00000164919.11_6
chr14,27.898,3.117,HSP90AA1,ENSG00000080824.18_4
chr2,15.981,3.117,CCT7,ENSG00000135624.16_3
chr1,17.859,3.117,SLC16A1,ENSG00000155380.11_8
chr3,13.241,3.116,SEC61A1,ENSG00000058262.10_3
chr4,10.812,3.116,AC098591.3,ENSG00000250568.1_6
chr12,23.668,3.116,ATP5F1B,ENSG00000110955.9_8
chr12,9.816,3.115,RPL18AP3,ENSG00000213442.5_4
chr12,4.77,3.115,ESYT1,ENSG00000139641.12_3
chr20,7.417,3.115,APMAP,ENSG00000101474.12_5
chr1,13.574,3.115,DHCR24,ENSG00000116133.13_5
chr11,20.002,3.114,RPS13,ENSG00000110700.7_5
chr7,4.047,3.114,AIMP2,ENSG00000106305.10_3
chr14,4.518,3.113,NPC2,ENSG00000119655.10_5
chr5,4.247,3.113,YIPF5,ENSG00000145817.17_4
chr1,5.174,3.113,RO60,ENSG00000116747.12_5
chr7,3.283,3.113,DLD,ENSG00000091140.14_3
chr22,9.535,3.113,SMARCB1,ENSG00000099956.19_5
chr9,3.029,3.112,FBXW2,ENSG00000119402.17_4
chr18,3.105,3.112,VAPA,ENSG00000101558.13_5
chr2,4.777,3.112,STARD7,ENSG00000084090.13_6
chr2,3.394,3.112,POLR1B,ENSG00000125630.16_3
chr12,24.656,3.111,TMBIM6,ENSG00000139644.13_8
chr17,6.896,3.11,ALKBH5,ENSG00000091542.9_3
chr3,5.72,3.11,RPL35A,ENSG00000182899.17_7
chr16,12.78,3.11,TUFM,ENSG00000178952.11_5
chr12,8.734,3.11,TPI1,ENSG00000111669.15_5
chr3,8.385,3.11,NUP210,ENSG00000132182.12_4
chr10,58.6,3.11,SCD,ENSG00000099194.6_3
chr7,6.168,3.11,SLC35B4,ENSG00000205060.11_4
chr3,5.608,3.109,SUMF1,ENSG00000144455.14_5
chr8,3.918,3.109,GPAT4,ENSG00000158669.11_7
chr2,8.044,3.109,SELENOI,ENSG00000138018.18_7
chr19,3.828,3.109,ATP13A1,ENSG00000105726.17_4
chr3,7.823,3.108,RHOA,ENSG00000067560.12_6
chr3,23.998,3.107,TFRC,ENSG00000072274.13_5
chr5,8.42,3.107,TMED7,ENSG00000134970.14_6
chr8,59.703,3.107,RPL8,ENSG00000161016.17_6
chr3,4.518,3.106,TUSC2,ENSG00000114383.10_5
chr18,8.092,3.106,MYL12B,ENSG00000118680.13_4
chr19,43.538,3.105,RPL18,ENSG00000063177.13_6
chr11,6.177,3.105,EXT2,ENSG00000151348.14_4
chr19,9.846,3.104,TECR,ENSG00000099797.15_5
chr2,3.571,3.104,SPAST,ENSG00000021574.12_6
chr11,4.51,3.104,SLC37A4,ENSG00000137700.18_9
chr22,5.446,3.104,COMT,ENSG00000093010.14_5
chrX,4.217,3.104,C1GALT1C1,ENSG00000171155.8_4
chr17,3.015,3.104,LRRC59,ENSG00000108829.10_5
chr2,3.682,3.104,LNPK,ENSG00000144320.14_6
chr2,4.434,3.104,ARL5A,ENSG00000162980.17_5
chr10,6.362,3.104,VCL,ENSG00000035403.17_3
chr1,4.217,3.104,ABCD3,ENSG00000117528.14_5
chr6,4.1,3.104,RPL15P3,ENSG00000212802.4_2
chr6,4.1,3.104,RPL15P3,ENSG00000212802.4_2
chr1,8.804,3.104,APH1A,ENSG00000117362.13_6
chr12,9.674,3.104,CD63,ENSG00000135404.11_5
chr5,5.446,3.104,MFAP3,ENSG00000037749.12_4
chr1,3.323,3.104,CKS1B,ENSG00000173207.13_3
chr20,8.323,3.102,PIGT,ENSG00000124155.18_7
chr19,14.722,3.102,BSG,ENSG00000172270.20_6
chr3,42.384,3.101,CTNNB1,ENSG00000168036.18_8
chr16,6.52,3.101,PLK1,ENSG00000166851.15_4
chr5,400.0,3.101,RACK1,ENSG00000204628.12_7
chr17,5.87,3.1,NFE2L1,ENSG00000082641.16_6
chr11,37.383,3.1,APLP2,ENSG00000084234.17_5
chr17,7.486,3.1,GRN,ENSG00000030582.18_4
chr1,15.547,3.1,KHDRBS1,ENSG00000121774.18_3
chr1,7.301,3.099,NID1,ENSG00000116962.15_4
chr4,3.394,3.098,TENM3,ENSG00000218336.9_6
chr14,8.732,3.098,TMED10,ENSG00000170348.9_4
chr16,3.46,3.098,MAP1LC3B,ENSG00000140941.14_4
chr17,6.45,3.097,ALYREF,ENSG00000183684.8_4
chr1,5.72,3.097,PIGK,ENSG00000142892.15_6
chr8,16.098,3.096,LAPTM4B,ENSG00000104341.17_5
chr8,9.833,3.096,RRS1,ENSG00000179041.4_4
chr10,18.383,3.095,SCD,ENSG00000099194.6_3
chr5,9.674,3.094,LMAN2,ENSG00000169223.15_6
chr19,23.911,3.094,PTBP1,ENSG00000011304.20_7
chr1,3.029,3.093,WLS,ENSG00000116729.14_8
chr17,8.184,3.093,GLOD4,ENSG00000167699.13_4
chr21,3.029,3.093,BACE2,ENSG00000182240.16_4
chr16,16.522,3.091,ATP6V0C|AC093525.2,ENSG00000260272.1_6||ENSG00000185883.12_4
chr1,7.404,3.091,NOTCH2,ENSG00000134250.20_5
chr12,28.803,3.091,LDHB,ENSG00000111716.14_6
chr11,8.095,3.09,RPL27A,ENSG00000166441.13_4
chr7,21.633,3.09,CALU,ENSG00000128595.17_6
chr8,35.715,3.089,RPL8,ENSG00000161016.17_6
chr4,5.117,3.089,FGFR3,ENSG00000068078.18_5
chr11,15.349,3.088,CD81,ENSG00000110651.11_5
chr8,37.188,3.088,RPL8,ENSG00000161016.17_6
chr8,3.321,3.087,SLC7A2,ENSG00000003989.17_6
chr3,11.683,3.087,DAG1,ENSG00000173402.12_7
chr2,9.89,3.087,FAM168B,ENSG00000152102.18_4
chr13,4.263,3.087,LAMP1,ENSG00000185896.11_3
chr11,5.715,3.087,CADM1,ENSG00000182985.17_8
chr7,18.383,3.086,PDIA4,ENSG00000155660.11_7
chr16,28.749,3.086,COX4I1,ENSG00000131143.10_7
chr1,8.092,3.086,CNIH4,ENSG00000143771.12_4
chr12,5.995,3.086,ADIPOR2,ENSG00000006831.10_3
chrX,3.105,3.085,ATP11C,ENSG00000101974.14_5
chr6,5.258,3.085,IGF2R,ENSG00000197081.14_7
chr16,4.879,3.085,SEPHS2,ENSG00000179918.19_5
chr6,5.564,3.085,MAN1A1,ENSG00000111885.7_5
chr17,4.547,3.083,NFE2L1,ENSG00000082641.16_6
chr3,6.937,3.083,TMEM43,ENSG00000170876.7_3
chr11,6.384,3.083,EXT2,ENSG00000151348.14_4
chr5,15.096,3.083,LMAN2,ENSG00000169223.15_6
chr11,5.223,3.082,RBM14,ENSG00000239306.4_3
chr16,4.104,3.08,CYB5B,ENSG00000103018.17_6
chr3,3.305,3.08,BBX,ENSG00000114439.19_7
chr11,4.104,3.08,CADM1,ENSG00000182985.17_8
chr3,6.248,3.079,MKRN2,ENSG00000075975.16_3
chr6,4.217,3.079,IGF2R,ENSG00000197081.14_7
chr6,4.047,3.079,PERP,ENSG00000112378.12_4
chr19,5.57,3.079,TMEM147,ENSG00000105677.12_3
chr19,6.649,3.077,AC139769.1,ENSG00000233836.7_5
chr19,6.649,3.077,AC139769.1,ENSG00000233836.7_5
chr3,5.104,3.076,DAG1,ENSG00000173402.12_7
chr12,12.72,3.076,PPP1CC,ENSG00000186298.12_5
chr17,8.524,3.076,P4HB,ENSG00000185624.15_4
chrX,10.379,3.075,ATP6AP1,ENSG00000071553.17_5
chr5,3.015,3.074,SLC12A2,ENSG00000064651.14_4
chr21,5.117,3.074,COL6A1,ENSG00000142156.15_3
chr3,6.937,3.074,TFRC,ENSG00000072274.13_5
chr10,4.217,3.074,TCTN3,ENSG00000119977.21_7
chr17,4.217,3.074,NPLOC4,ENSG00000182446.14_5
chr2,16.193,3.074,AC016739.1,ENSG00000218175.2_5
chr4,11.683,3.074,SLC30A9,ENSG00000014824.14_4
chr3,3.619,3.074,SUSD5,ENSG00000173705.9_6
chr15,3.962,3.073,TM2D3,ENSG00000184277.13_5
chr1,23.716,3.073,PTPRF,ENSG00000142949.17_4
chr5,3.962,3.073,FBN2,ENSG00000138829.12_7
chr13,8.52,3.072,SLC7A1,ENSG00000139514.13_5
chr11,7.434,3.072,RPS13,ENSG00000110700.7_5
chr16,12.505,3.072,ALDOA|AC093512.2,ENSG00000149925.20_7||ENSG00000285043.1_2
chr1,7.586,3.071,LAMC1,ENSG00000135862.6_3
chr11,9.6,3.071,RPS13,ENSG00000110700.7_5
chr3,8.799,3.07,DAG1,ENSG00000173402.12_7
chr19,12.038,3.07,RPL18,ENSG00000063177.13_6
chrX,7.804,3.069,GLA,ENSG00000102393.11_4
chr17,5.223,3.069,ACACA,ENSG00000278540.5_6
chr6,3.105,3.069,FAM8A1,ENSG00000137414.6_3
chr12,4.104,3.069,LTA4H,ENSG00000111144.10_4
chr11,4.955,3.069,SERPINH1,ENSG00000149257.14_6
chr5,5.507,3.068,GPX3,ENSG00000211445.12_8
chrX,8.385,3.068,PRDX4,ENSG00000123131.13_3
chr14,4.102,3.068,SEL1L,ENSG00000071537.14_5
chr6,5.995,3.068,FUCA2,ENSG00000001036.14_4
chr17,10.018,3.067,RETREG3,ENSG00000141699.11_8
chrX,6.362,3.067,GLA,ENSG00000102393.11_4
chr6,18.383,3.067,H2BC4,ENSG00000180596.7_3
chr6,4.518,3.067,LMBRD1,ENSG00000168216.13_8
chr1,17.019,3.067,RYR2,ENSG00000198626.17_6
chr6,3.619,3.065,RPL7L1,ENSG00000146223.15_4
chr14,3.619,3.065,ACTR10,ENSG00000131966.14_5
chr17,11.053,3.065,ATP6V0A1,ENSG00000033627.16_4
chr1,3.619,3.065,ACOT7,ENSG00000097021.19_4
chr14,7.099,3.065,TM9SF1|AL136295.1,ENSG00000254692.1_9||ENSG00000100926.15_8
chr7,19.776,3.064,LUZP6,ENSG00000267697.2_7
chr21,8.446,3.063,PSMG1,ENSG00000183527.12_4
chr2,6.879,3.063,ARL6IP6,ENSG00000177917.10_2
chr3,8.677,3.063,NDUFB4,ENSG00000065518.8_3
chr15,77.29,3.063,RPLP1,ENSG00000137818.12_3
chr9,10.018,3.063,MAN1B1,ENSG00000177239.15_6
chr9,3.918,3.062,TGFBR1,ENSG00000106799.13_4
chr11,3.918,3.062,DDB1,ENSG00000167986.14_4
chr5,77.221,3.062,RACK1,ENSG00000204628.12_7
chr16,3.166,3.062,NOMO1,ENSG00000103512.15_4
chr14,3.323,3.062,SGPP1,ENSG00000126821.8_4
chr3,7.108,3.061,PLOD2,ENSG00000152952.12_6
chr1,5.416,3.061,ADGRL2,ENSG00000117114.19_7
chr14,9.991,3.06,APEX1,ENSG00000100823.12_4
chr21,8.159,3.059,CXADR,ENSG00000154639.19_3
chr2,7.113,3.059,STEAP3,ENSG00000115107.20_4
chr17,4.104,3.058,CPD,ENSG00000108582.12_7
chr14,6.183,3.058,SEL1L,ENSG00000071537.14_5
chr5,18.403,3.058,HNRNPAB,ENSG00000197451.12_4
chr12,21.913,3.058,ATP5F1B,ENSG00000110955.9_8
chr17,11.229,3.058,BIRC5,ENSG00000089685.15_6
chr17,24.088,3.058,ACTG1,ENSG00000184009.12_8
chr19,9.168,3.057,AC012618.1,ENSG00000213293.4_5
chr3,3.09,3.057,ABHD10,ENSG00000144827.9_3
chr8,25.057,3.057,RPL8,ENSG00000161016.17_6
chr2,4.326,3.057,TMEM185B,ENSG00000226479.4_4
chr1,27.408,3.057,ATP1A1,ENSG00000163399.16_4
chr12,3.283,3.057,ANKLE2,ENSG00000176915.15_4
chr1,5.416,3.057,TPI1P1,ENSG00000226415.1_4
chr6,5.87,3.057,LIN28B,ENSG00000187772.8_5
chr19,3.682,3.057,FEM1A,ENSG00000141965.5_3
chr17,5.87,3.057,KIAA0100,ENSG00000007202.15_6
chr6,7.099,3.056,GJA1,ENSG00000152661.9_6
chr9,5.507,3.056,MAN1B1,ENSG00000177239.15_6
chr3,10.18,3.055,SEC61A1,ENSG00000058262.10_3
chr22,9.405,3.055,YWHAH,ENSG00000128245.15_6
chr5,40.416,3.055,RACK1,ENSG00000204628.12_7
chr1,3.029,3.054,FBXO28,ENSG00000143756.12_3
chr7,4.1,3.054,CBX3,ENSG00000122565.19_3
chr7,3.619,3.054,FKBP9,ENSG00000122642.11_4
chr4,3.828,3.054,RPL9,ENSG00000163682.16_5
chr8,7.555,3.054,ELOC,ENSG00000154582.16_4
chr17,4.217,3.054,RETREG3,ENSG00000141699.11_8
chr17,4.903,3.054,RAB5C,ENSG00000108774.14_6
chr22,16.098,3.054,SMARCB1,ENSG00000099956.19_5
chr9,3.066,3.054,POLE3,ENSG00000148229.13_4
chr11,6.005,3.054,PPP1CA,ENSG00000172531.15_6
chr3,3.555,3.054,NDUFAF3,ENSG00000178057.15_3
chr12,8.095,3.054,EIF4B,ENSG00000063046.17_4
chr2,5.564,3.054,RIF1,ENSG00000080345.18_7
chr7,4.592,3.052,RALA,ENSG00000006451.8_4
chrX,5.053,3.051,USP11,ENSG00000102226.10_4
chr19,4.604,3.05,MIDN,ENSG00000167470.12_4
chr1,11.791,3.05,LAMC1,ENSG00000135862.6_3
chr1,7.301,3.05,ZMPSTE24,ENSG00000084073.9_3
chr3,3.283,3.05,CD47,ENSG00000196776.16_5
chr1,5.314,3.048,GNB1,ENSG00000078369.18_4
chr19,4.77,3.048,COLGALT1,ENSG00000130309.11_7
chr17,8.52,3.047,GRN,ENSG00000030582.18_4
chr3,17.355,3.047,RPN1,ENSG00000163902.12_5
chr11,3.619,3.047,KMT2A,ENSG00000118058.22_7
chr2,10.93,3.046,FAM168B,ENSG00000152102.18_4
chr9,6.658,3.045,SURF4,ENSG00000148248.14_4
chr14,4.518,3.044,OXA1L,ENSG00000155463.14_6
chr15,3.105,3.044,CD276,ENSG00000103855.18_3
chr1,5.564,3.043,LRRC47,ENSG00000130764.10_4
chr22,7.045,3.043,SUN2,ENSG00000100242.15_5
chr17,3.283,3.042,CPD,ENSG00000108582.12_7
chr3,6.459,3.042,DAG1,ENSG00000173402.12_7
chr19,13.609,3.042,PTBP1,ENSG00000011304.20_7
chr10,22.164,3.042,SCD,ENSG00000099194.6_3
chr11,10.303,3.042,SLC3A2,ENSG00000168003.16_4
chr17,29.405,3.041,ACTG1,ENSG00000184009.12_8
chr9,3.264,3.041,SEMA4D,ENSG00000187764.11_5
chr7,4.818,3.041,MDH2,ENSG00000146701.12_3
chr11,5.888,3.041,TMX2,ENSG00000213593.10_4
chrX,4.374,3.041,TIMP1,ENSG00000102265.12_3
chr15,400.0,3.04,RPLP1,ENSG00000137818.12_3
chr6,10.379,3.04,AL050331.1,ENSG00000233558.1_5
chr7,5.223,3.04,EIF4H,ENSG00000106682.14_2
chr14,7.946,3.039,TMED10,ENSG00000170348.9_4
chr5,25.92,3.039,LPCAT1,ENSG00000153395.10_4
chr9,4.518,3.039,UGCG,ENSG00000148154.10_3
chr5,7.209,3.039,LPCAT1,ENSG00000153395.10_4
chr18,10.301,3.039,DSG2,ENSG00000046604.13_3
chr16,9.833,3.038,TUFM,ENSG00000178952.11_5
chr19,6.781,3.038,ERCC1,ENSG00000012061.15_7
chr15,4.102,3.038,BNIP2,ENSG00000140299.12_6
chr15,16.266,3.037,SEC11A,ENSG00000140612.14_4
chr11,5.416,3.036,CADM1,ENSG00000182985.17_8
chr20,3.988,3.036,POFUT1,ENSG00000101346.14_4
chr16,5.223,3.036,CCNF,ENSG00000162063.13_6
chr14,4.653,3.036,SEL1L,ENSG00000071537.14_5
chr16,400.0,3.036,RPS2,ENSG00000140988.16_7
chr4,3.836,3.036,ADGRA3,ENSG00000152990.14_5
chr6,3.828,3.036,LIN28B,ENSG00000187772.8_5
chr1,13.436,3.035,UQCRH,ENSG00000173660.12_3
chr21,50.025,3.034,APP,ENSG00000142192.21_7
chr14,9.561,3.034,AHSA1,ENSG00000100591.8_5
chr3,10.762,3.033,SEC61A1,ENSG00000058262.10_3
chr3,23.595,3.033,RPL35A,ENSG00000182899.17_7
chr11,3.897,3.033,DDB1,ENSG00000167986.14_4
chr6,3.549,3.033,NFYA,ENSG00000001167.14_3
chr8,29.084,3.032,RPL8,ENSG00000161016.17_6
chr21,11.581,3.032,SLC19A1,ENSG00000173638.19_6
chr11,6.362,3.031,DDX6,ENSG00000110367.13_5
chr5,7.226,3.031,MARCHF6,ENSG00000145495.16_5
chr14,4.098,3.031,EXOC5,ENSG00000070367.16_5
chr2,9.019,3.03,HDLBP,ENSG00000115677.17_7
chr19,22.994,3.03,PTBP1,ENSG00000011304.20_7
chr3,5.84,3.03,IMPDH2,ENSG00000178035.12_4
chr5,16.008,3.029,LMAN2,ENSG00000169223.15_6
chr19,5.564,3.028,AP1M1,ENSG00000072958.8_5
chr12,8.698,3.028,RPL18AP3,ENSG00000213442.5_4
chr5,6.248,3.028,HINT1,ENSG00000169567.12_4
chr12,4.1,3.028,ALG10,ENSG00000139133.7_3
chr2,5.053,3.028,SLC20A1,ENSG00000144136.11_7
chr16,6.632,3.028,ATP6V0C|AC093525.2,ENSG00000185883.12_4||ENSG00000260272.1_6
chr3,5.053,3.028,BBX,ENSG00000114439.19_7
chr11,3.571,3.028,RTN3,ENSG00000133318.14_8
chr16,3.682,3.028,RPUSD1,ENSG00000007376.8_5
chr1,11.951,3.028,PTPRF,ENSG00000142949.17_4
chr19,17.401,3.027,RPL18,ENSG00000063177.13_6
chr5,14.079,3.027,BTF3,ENSG00000145741.15_5
chr12,9.089,3.026,TUBA1B,ENSG00000123416.15_7
chr16,13.704,3.025,RPS2,ENSG00000140988.16_7
chr19,5.791,3.024,UBE2S,ENSG00000108106.14_4
chr19,11.75,3.024,COLGALT1,ENSG00000130309.11_7
chr3,28.694,3.023,RPL29,ENSG00000162244.12_8
chr16,16.122,3.023,TUFM,ENSG00000178952.11_5
chr3,9.948,3.022,PLOD2,ENSG00000152952.12_6
chr9,10.059,3.021,SIGMAR1,ENSG00000147955.17_4
chr1,10.868,3.02,PPT1,ENSG00000131238.17_6
chr15,3.115,3.02,PCSK6,ENSG00000140479.17_5
chr3,10.303,3.02,SRPRB,ENSG00000144867.12_5
chr19,20.654,3.02,OAZ1,ENSG00000104904.12_6
chr1,3.918,3.02,ECE1,ENSG00000117298.16_6
chr6,8.095,3.019,IGF2R,ENSG00000197081.14_7
chr16,4.51,3.019,AMFR,ENSG00000159461.15_6
chr8,21.993,3.019,RPL8,ENSG00000161016.17_6
chr12,3.04,3.019,TMEM19,ENSG00000139291.14_5
chr2,4.263,3.019,YIPF4,ENSG00000119820.11_4
chr6,3.619,3.019,IGF2R,ENSG00000197081.14_7
chr11,29.418,3.018,RPS13,ENSG00000110700.7_5
chr22,9.255,3.016,SMARCB1,ENSG00000099956.19_5
chr21,5.252,3.016,CXADR,ENSG00000154639.19_3
chr19,7.586,3.016,SCAMP4,ENSG00000227500.10_4
chr20,5.564,3.016,PSMF1,ENSG00000125818.18_8
chr20,5.166,3.016,AHCY,ENSG00000101444.13_5
chr4,4.592,3.016,KIAA1109,ENSG00000138688.15_3
chr20,19.016,3.014,GNAS,ENSG00000087460.25_7
chr14,13.714,3.014,SEL1L,ENSG00000071537.14_5
chr6,4.634,3.013,SSR1,ENSG00000124783.14_6
chr1,21.523,3.013,DHCR24,ENSG00000116133.13_5
chr3,3.918,3.013,SUSD5,ENSG00000173705.9_6
chr21,7.67,3.013,CXADR,ENSG00000154639.19_3
chr16,7.705,3.012,AMFR,ENSG00000159461.15_6
chr1,11.588,3.011,DHCR24,ENSG00000116133.13_5
chr17,3.015,3.011,CLUH,ENSG00000132361.17_6
chr22,400.0,3.01,MIF,ENSG00000240972.2_5
chr1,9.022,3.01,DEGS1,ENSG00000143753.13_4
chr17,5.053,3.01,PRPF8,ENSG00000174231.17_5
chr2,12.153,3.009,TGOLN2,ENSG00000152291.14_4
chr3,7.023,3.009,TMEM43,ENSG00000170876.7_3
chrX,5.84,3.009,HCFC1,ENSG00000172534.14_6
chr21,8.044,3.008,GET1,ENSG00000182093.16_6
chr15,3.579,3.008,TMED3,ENSG00000166557.13_4
chr19,20.522,3.008,OAZ1,ENSG00000104904.12_6
chr17,5.258,3.008,CLTC,ENSG00000141367.12_5
chr20,16.929,3.007,RPN2,ENSG00000118705.17_4
chr22,8.698,3.007,DDT|AC253536.7,ENSG00000099977.14_5||ENSG00000285762.1_2
chr16,3.682,3.007,CFDP1,ENSG00000153774.9_7
chrX,6.415,3.007,MMGT1,ENSG00000169446.5_3
chr19,36.828,3.007,RPS19,ENSG00000105372.8_6
chr22,19.129,3.007,DGCR2,ENSG00000070413.20_6
chr12,12.94,3.007,SLC25A3,ENSG00000075415.12_7
chr17,23.517,3.006,RPL23A,ENSG00000198242.14_3
chr11,3.321,3.006,JAM3,ENSG00000166086.13_4
chr3,14.64,3.006,SPCS1,ENSG00000114902.14_4
chr5,53.011,3.004,CANX,ENSG00000127022.15_7
chr1,15.918,3.004,DHX9,ENSG00000135829.17_3
chr8,3.918,3.002,TMEM70,ENSG00000175606.11_4
chr3,9.258,3.002,TMEM43,ENSG00000170876.7_3
chr19,24.363,3.002,PTBP1,ENSG00000011304.20_7
chr2,6.373,3.002,SPTBN1,ENSG00000115306.16_5
chr14,60.8,3.002,RPL7AP6,ENSG00000242071.3_4
chr13,7.017,3.002,PABPC3,ENSG00000151846.8_3
chr11,5.87,3.002,TPP1,ENSG00000166340.17_6
chr2,3.04,3.0,LTBP1,ENSG00000049323.16_5
chr11,6.45,3.0,DDX6,ENSG00000110367.13_5
chr19,18.502,3.0,BSG,ENSG00000172270.20_6
chr8,3.105,3.0,CTSB,ENSG00000164733.21_5
chr1,3.105,3.0,SCAMP3,ENSG00000116521.11_4
chr14,3.105,3.0,XRCC3,ENSG00000126215.14_5
chr6,3.105,3.0,IFNGR1,ENSG00000027697.14_7
chr11,3.105,3.0,ALG8,ENSG00000159063.13_6
chrX,3.105,3.0,SLC9A6,ENSG00000198689.11_5
